"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","numFeatures","target","obj1","obj2","obj3","utterance","itemCode","condition","ambiguous","trial_type","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"1",1,0,333,6,"English","clouds",0,"circles",1,"squares",0,"blue things",0.5,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,231,NA,331,111,"polka-dotted",213211,NA,"True","prior_inference",2,1,3,8,9,1,0,1,0,NA,NA,NA,1,0,0,0.21252,0.74799,0.03948,0.2337,0.33333,0.43297,0.33333,0.33333,0.33333,0.18926,0.75665,0.05409,0.21219,0.33333,0.45448,0.33333,0.33333,0.33333,213211,0
"2",2,0,364,7,"English","blue things",0,"red things",0,"green things",0.5,"clouds",0.75,"circles",0,"squares",0,NA,NA,NA,NA,NA,NA,NA,133,NA,113,213,"polka-dotted",122132,NA,"False","prior_inference",2,3,1,25,19,20,1,0,0,NA,NA,NA,0,0,1,0.47926,0.18741,0.33333,0.17607,0.33333,0.4906,0.33333,0.33333,0.33333,0.49756,0.16911,0.33333,0.15094,0.33333,0.51572,0.33333,0.33333,0.33333,123221,0
"3",3,0,337,8,"English","solid things",0,"striped things",0,"polka-dotted things",0,"blue things",0,"red things",0.9,"green things",0,NA,NA,NA,NA,NA,NA,NA,112,NA,113,211,"cloud",213211,NA,"True","prior_inference",1,2,3,10,19,2,NA,NA,NA,0.33333,0.33333,0.33333,0,1,0,0.43297,0.2337,0.33333,0.33333,0.33333,0.33333,0.21252,0.74799,0.03948,0.45448,0.21219,0.33333,0.33333,0.33333,0.33333,0.18926,0.75665,0.05409,213211,0
"4",4,0,1370,9,"English","blue things",0,"red things",0,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,312,NA,132,222,"square",113211,NA,"False","prior_inference",1,3,2,12,16,14,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.20893,0.20893,0.58215,0.58215,0.20893,0.20893,0.33333,0.33333,0.33333,0.18461,0.18461,0.63077,0.63077,0.18461,0.18461,0.33333,0.33333,0.33333,113211,0
"5",5,0,1861,10,"English","blue things",0,"red things",0,"green things",0,"clouds",0,"circles",0,"squares",0,NA,NA,NA,NA,NA,NA,NA,122,NA,232,232,"striped",123212,NA,"False","prior_inference",2,3,1,13,17,17,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.4906,0.17607,0.33333,0.33333,0.4906,0.17607,0.33333,0.33333,0.33333,0.51572,0.15094,0.33333,0.33333,0.51572,0.15094,0.33333,0.33333,0.33333,123212,0
"6",6,0,181,11,"English","solid things",0,"striped things",0,"polka-dotted things",0.75,"blue things",0,"red things",0.3,"green things",0,NA,NA,NA,NA,NA,NA,NA,232,NA,222,222,"circle",323212,NA,"True","prior_inference",1,2,3,17,14,14,NA,NA,NA,0,0,1,0,1,0,0.33333,0.33333,0.33333,0.33333,0.03343,0.63324,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.04448,0.62219,0.33333,0.33333,0.33333,323212,0
"7",7,0,770,12,"English","clouds",0.8,"circles",0,"squares",0,"solid things",0,"striped things",0.8,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,123,NA,213,211,"green",211212,NA,"True","prior_inference",3,1,2,22,20,2,1,0,0,0,1,0,NA,NA,NA,0.61217,0.0545,0.33333,0.0545,0.61217,0.33333,0.2337,0.33333,0.43297,0.59996,0.06671,0.33333,0.06671,0.59996,0.33333,0.21219,0.33333,0.45448,211212,0
"8",8,0,734,13,"English","blue things",0,"red things",0,"green things",0.8,"solid things",0,"striped things",0,"polka-dotted things",0.85,NA,NA,NA,NA,NA,NA,NA,233,NA,213,131,"circle",212122,NA,"True","prior_inference",1,3,2,26,20,7,NA,NA,NA,0,0,1,0,0,1,0.2337,0.43297,0.33333,0.03741,0.33333,0.62925,0.2337,0.33333,0.43297,0.21219,0.45448,0.33333,0.05267,0.33333,0.614,0.21219,0.33333,0.45448,212122,0
"9",9,0,1413,14,"English","clouds",0,"circles",0,"squares",0.9,"blue things",0,"red things",0,"green things",0,NA,NA,NA,NA,NA,NA,NA,321,NA,121,223,"striped",322111,NA,"True","prior_inference",2,1,3,6,4,23,0,0,1,NA,NA,NA,0.33333,0.33333,0.33333,0.04775,0.04775,0.90451,0.33333,0.33333,0.33333,0.60591,0.33333,0.06076,0.06254,0.06254,0.87491,0.33333,0.33333,0.33333,0.58818,0.33333,0.07848,322111,0
"10",10,0,2127,15,"English","blue things",0,"red things",0,"green things",0,"solid things",0,"striped things",0,"polka-dotted things",0,NA,NA,NA,NA,NA,NA,NA,123,NA,331,211,"cloud",111112,NA,"False","prior_inference",1,3,2,22,9,2,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.58215,0.20893,0.20893,0.20893,0.58215,0.20893,0.17607,0.33333,0.4906,0.63077,0.18461,0.18461,0.18461,0.63077,0.18461,0.15094,0.33333,0.51572,111211,0
